"party","modeldate","yes_estimate"
"rep",2019-08-12,10.22849
"dem",2019-08-12,70.30132
"rep",2019-08-11,9.769506
"ind",2019-08-11,33.55318
"dem",2019-08-11,69.9733
"rep",2019-08-10,9.769506
"ind",2019-08-10,33.55318
"dem",2019-08-10,69.9733
"ind",2019-08-09,33.54754
"dem",2019-08-09,68.81796
"rep",2019-08-09,8.959452
"rep",2019-08-08,8.959452
"dem",2019-08-08,68.81796
"ind",2019-08-08,33.54754
"ind",2019-08-07,33.54754
"rep",2019-08-07,8.959452
"dem",2019-08-07,68.81796
"rep",2019-08-06,8.959452
"ind",2019-08-06,33.54754
"dem",2019-08-06,68.81796
"ind",2019-08-05,33.54754
"rep",2019-08-05,8.959452
"dem",2019-08-05,68.81796
"ind",2019-08-04,32.49687
"dem",2019-08-04,67.6105
"rep",2019-08-04,7.844252
"dem",2019-08-03,67.6105
"ind",2019-08-03,32.49687
"rep",2019-08-03,7.844252
"dem",2019-08-02,66.65798
"rep",2019-08-02,8.269515
"ind",2019-08-02,32.68993
"dem",2019-08-01,66.65798
"ind",2019-08-01,32.68993
"rep",2019-08-01,8.269515
"ind",2019-07-31,32.68993
"rep",2019-07-31,8.269515
"dem",2019-07-31,66.65798
"dem",2019-07-30,66.65798
"rep",2019-07-30,8.269515
"ind",2019-07-30,32.68993
"rep",2019-07-29,8.411738
"ind",2019-07-29,33.71931
"dem",2019-07-29,67.69491
"rep",2019-07-28,7.164382
"ind",2019-07-28,33.89971
"dem",2019-07-28,67.47424
"dem",2019-07-27,68.83722
"rep",2019-07-27,8.234186
"ind",2019-07-27,35.22823
"dem",2019-07-26,68.83722
"rep",2019-07-26,8.234186
"ind",2019-07-26,35.22823
"dem",2019-07-25,68.83722
"ind",2019-07-25,35.22823
"rep",2019-07-25,8.234186
"rep",2019-07-24,8.715902
"ind",2019-07-24,35.26582
"dem",2019-07-24,69.31252
"ind",2019-07-23,35.26582
"dem",2019-07-23,69.31252
"rep",2019-07-23,8.715902
"rep",2019-07-22,9.203953
"ind",2019-07-22,34.47952
"dem",2019-07-22,67.13666
"rep",2019-07-21,9.203953
"ind",2019-07-21,34.47952
"dem",2019-07-21,67.13666
"dem",2019-07-20,67.25156
"ind",2019-07-20,33.31029
"rep",2019-07-20,9.447983
"dem",2019-07-19,67.25156
"rep",2019-07-19,9.447983
"ind",2019-07-19,33.31029
"ind",2019-07-18,33.31029
"rep",2019-07-18,9.447983
"dem",2019-07-18,67.25156
"dem",2019-07-17,65.21889
"rep",2019-07-17,9.762188
"ind",2019-07-17,33.54711
"dem",2019-07-16,65.21889
"ind",2019-07-16,33.54711
"rep",2019-07-16,9.762188
"dem",2019-07-15,66.54375
"rep",2019-07-15,9.236077
"ind",2019-07-15,36.49604
"rep",2019-07-14,8.580741
"ind",2019-07-14,36.14394
"dem",2019-07-14,66.5352
"ind",2019-07-13,36.14394
"dem",2019-07-13,66.5352
"rep",2019-07-13,8.580741
"ind",2019-07-12,36.14394
"dem",2019-07-12,66.5352
"rep",2019-07-12,8.580741
"rep",2019-07-11,8.580741
"ind",2019-07-11,36.14394
"dem",2019-07-11,66.5352
"rep",2019-07-10,8.580741
"dem",2019-07-10,66.5352
"ind",2019-07-10,36.14394
"ind",2019-07-09,36.14394
"rep",2019-07-09,8.580741
"dem",2019-07-09,66.5352
"dem",2019-07-08,66.5352
"rep",2019-07-08,8.580741
"ind",2019-07-08,36.14394
"rep",2019-07-07,8.089804
"ind",2019-07-07,35.83666
"dem",2019-07-07,66.45293
"ind",2019-07-06,35.83666
"rep",2019-07-06,8.089804
"dem",2019-07-06,66.45293
"rep",2019-07-05,8.089804
"ind",2019-07-05,35.83666
"dem",2019-07-05,66.45293
"rep",2019-07-04,8.089804
"ind",2019-07-04,35.83666
"dem",2019-07-04,66.45293
"dem",2019-07-03,66.45293
"rep",2019-07-03,8.089804
"ind",2019-07-03,35.83666
"rep",2019-07-02,8.089804
"ind",2019-07-02,35.83666
"dem",2019-07-02,66.45293
"ind",2019-07-01,35.83666
"dem",2019-07-01,66.45293
"rep",2019-07-01,8.089804
"dem",2019-06-30,68.69518
"ind",2019-06-30,35.33698
"rep",2019-06-30,8.746777
"ind",2019-06-29,35.33698
"rep",2019-06-29,8.746777
"dem",2019-06-29,68.69518
"dem",2019-06-28,68.69518
"ind",2019-06-28,35.33698
"rep",2019-06-28,8.746777
"dem",2019-06-27,68.69518
"ind",2019-06-27,35.33698
"rep",2019-06-27,8.746777
"dem",2019-06-26,68.69518
"rep",2019-06-26,8.746777
"ind",2019-06-26,35.33698
"rep",2019-06-25,8.746777
"ind",2019-06-25,35.33698
"dem",2019-06-25,68.69518
"dem",2019-06-24,68.69518
"ind",2019-06-24,35.33698
"rep",2019-06-24,8.746777
"dem",2019-06-23,68.59709
"rep",2019-06-23,8.569736
"ind",2019-06-23,33.87597
"ind",2019-06-22,33.87597
"rep",2019-06-22,8.569736
"dem",2019-06-22,68.59709
"rep",2019-06-21,8.569736
"ind",2019-06-21,33.87597
"dem",2019-06-21,68.59709
"rep",2019-06-20,8.569736
"ind",2019-06-20,33.87597
"dem",2019-06-20,68.59709
"rep",2019-06-19,8.569736
"ind",2019-06-19,33.87597
"dem",2019-06-19,68.59709
"dem",2019-06-18,68.59709
"rep",2019-06-18,8.569736
"ind",2019-06-18,33.87597
"ind",2019-06-17,33.87597
"dem",2019-06-17,68.59709
"rep",2019-06-17,8.569736
"ind",2019-06-16,34.52164
"rep",2019-06-16,7.821731
"dem",2019-06-16,69.05783
"rep",2019-06-15,7.86423
"ind",2019-06-15,35.28846
"dem",2019-06-15,69.24455
"dem",2019-06-14,71.0479
"ind",2019-06-14,37.53931
"rep",2019-06-14,7.703203
"ind",2019-06-13,37.53931
"rep",2019-06-13,7.703203
"dem",2019-06-13,71.0479
"ind",2019-06-12,37.53931
"rep",2019-06-12,7.703203
"dem",2019-06-12,71.0479
"dem",2019-06-11,68.33129
"ind",2019-06-11,35.9807
"rep",2019-06-11,7.547239
"ind",2019-06-10,35.9807
"dem",2019-06-10,68.33129
"rep",2019-06-10,7.547239
"dem",2019-06-09,68.95649
"ind",2019-06-09,34.45367
"rep",2019-06-09,8.532762
"dem",2019-06-08,70.12943
"ind",2019-06-08,33.57333
"rep",2019-06-08,9.573143
"dem",2019-06-07,70.12943
"rep",2019-06-07,9.573143
"ind",2019-06-07,33.57333
"rep",2019-06-06,9.573143
"dem",2019-06-06,70.12943
"ind",2019-06-06,33.57333
"ind",2019-06-05,33.57333
"rep",2019-06-05,9.573143
"dem",2019-06-05,70.12943
"rep",2019-06-04,9.573143
"ind",2019-06-04,33.57333
"dem",2019-06-04,70.12943
"dem",2019-06-03,70.12943
"ind",2019-06-03,33.57333
"rep",2019-06-03,9.573143
"rep",2019-06-02,9.538594
"ind",2019-06-02,33.01809
"dem",2019-06-02,69.96004
"dem",2019-06-01,69.71985
"rep",2019-06-01,10.24292
"ind",2019-06-01,32.79103
"ind",2019-05-31,32.79103
"dem",2019-05-31,69.71985
"rep",2019-05-31,10.24292
"rep",2019-05-30,11.05527
"ind",2019-05-30,31.01622
"dem",2019-05-30,67.37096
"dem",2019-05-29,66.87001
"ind",2019-05-29,31.3193
"rep",2019-05-29,11.11653
"dem",2019-05-28,66.87001
"rep",2019-05-28,11.11653
"ind",2019-05-28,31.3193
"rep",2019-05-27,11.91375
"dem",2019-05-27,68.4305
"ind",2019-05-27,32.91422
"rep",2019-05-26,11.91375
"ind",2019-05-26,32.91422
"dem",2019-05-26,68.4305
"dem",2019-05-25,70.39458
"ind",2019-05-25,33.55247
"rep",2019-05-25,11.67977
"dem",2019-05-24,70.39458
"rep",2019-05-24,11.67977
"ind",2019-05-24,33.55247
"rep",2019-05-23,11.67977
"ind",2019-05-23,33.55247
"dem",2019-05-23,70.39458
"rep",2019-05-22,11.31775
"ind",2019-05-22,33.30706
"dem",2019-05-22,72.66107
"rep",2019-05-21,9.681665
"ind",2019-05-21,32.31157
"dem",2019-05-21,70.29792
"rep",2019-05-20,9.681665
"ind",2019-05-20,32.31157
"dem",2019-05-20,70.29792
"rep",2019-05-19,9.254711
"ind",2019-05-19,33.20319
"dem",2019-05-19,68.64964
"dem",2019-05-18,68.64964
"ind",2019-05-18,33.20319
"rep",2019-05-18,9.254711
"dem",2019-05-17,68.64964
"ind",2019-05-17,33.20319
"rep",2019-05-17,9.254711
"rep",2019-05-16,9.254711
"ind",2019-05-16,33.20319
"dem",2019-05-16,68.64964
"dem",2019-05-15,68.64964
"rep",2019-05-15,9.254711
"ind",2019-05-15,33.20319
"dem",2019-05-14,68.64964
"rep",2019-05-14,9.254711
"ind",2019-05-14,33.20319
"ind",2019-05-13,33.0181
"rep",2019-05-13,9.359218
"dem",2019-05-13,66.72051
"dem",2019-05-12,66.72051
"rep",2019-05-12,9.359218
"ind",2019-05-12,33.0181
"rep",2019-05-11,10.1732
"dem",2019-05-11,66.16306
"ind",2019-05-11,33.57709
"rep",2019-05-10,10.1732
"ind",2019-05-10,33.57709
"dem",2019-05-10,66.16306
"dem",2019-05-09,66.16306
"rep",2019-05-09,10.1732
"ind",2019-05-09,33.57709
"ind",2019-05-08,33.57709
"rep",2019-05-08,10.1732
"dem",2019-05-08,66.16306
"ind",2019-05-07,33.57709
"rep",2019-05-07,10.1732
"dem",2019-05-07,66.16306
"dem",2019-05-06,64.33037
"ind",2019-05-06,31.61382
"rep",2019-05-06,8.633554
"ind",2019-05-05,31.61382
"dem",2019-05-05,64.33037
"rep",2019-05-05,8.633554
"dem",2019-05-04,63.79367
"ind",2019-05-04,31.61382
"rep",2019-05-04,7.800708
"dem",2019-05-03,63.12061
"rep",2019-05-03,7.968034
"ind",2019-05-03,31.44715
"dem",2019-05-02,63.12061
"ind",2019-05-02,31.44715
"rep",2019-05-02,7.968034
"dem",2019-05-01,63.12061
"rep",2019-05-01,7.968034
"ind",2019-05-01,31.44715
"ind",2019-04-30,31.44715
"dem",2019-04-30,63.12061
"rep",2019-04-30,7.968034
"dem",2019-04-29,63.12061
"rep",2019-04-29,7.968034
"ind",2019-04-29,31.44715
