"modeldate","party","yes_estimate"
2019-10-19 00:00:00,"rep",10
2019-10-19 00:00:00,"dem",93
2019-10-19 00:00:00,"ind",58
2019-10-21 00:00:00,"rep",9
2019-10-21 00:00:00,"dem",82
2019-10-21 00:00:00,"ind",38
2019-10-21 00:00:00,"rep",8
2019-10-21 00:00:00,"dem",82
2019-10-21 00:00:00,"ind",40
2019-10-15 00:00:00,"rep",9
2019-10-15 00:00:00,"dem",89
2019-10-15 00:00:00,"ind",53
2019-10-24 12:00:00,"rep",9
2019-10-24 12:00:00,"dem",79
2019-10-24 12:00:00,"ind",43
2019-10-26 12:00:00,"rep",14
2019-10-26 12:00:00,"dem",85
2019-10-26 12:00:00,"ind",41
2019-10-26 12:00:00,"rep",11
2019-10-26 12:00:00,"dem",88
2019-10-26 12:00:00,"ind",43
2019-10-26 12:00:00,"rep",10
2019-10-26 12:00:00,"dem",87
2019-10-26 12:00:00,"ind",43
2019-10-28 00:00:00,"rep",10
2019-10-28 00:00:00,"dem",82
2019-10-28 00:00:00,"ind",39
2019-10-28 00:00:00,"rep",9
2019-10-28 00:00:00,"dem",83
2019-10-28 00:00:00,"ind",41
2019-10-28 12:00:00,"rep",11
2019-10-28 12:00:00,"dem",81
2019-10-28 12:00:00,"ind",41
2019-10-28 12:00:00,"rep",12
2019-10-28 12:00:00,"dem",82
2019-10-28 12:00:00,"ind",47
2019-10-30 00:00:00,"rep",8
2019-10-30 00:00:00,"dem",81
2019-10-30 00:00:00,"ind",39
2019-10-16 00:00:00,"rep",12
2019-10-16 00:00:00,"dem",87
2019-10-16 00:00:00,"ind",35
2019-10-23 00:00:00,"rep",13
2019-10-23 00:00:00,"dem",86
2019-10-23 00:00:00,"ind",39
2019-10-28 12:00:00,"rep",18
2019-10-28 12:00:00,"dem",82
2019-10-28 12:00:00,"ind",47
2019-10-26 00:00:00,"rep",11
2019-10-26 00:00:00,"dem",83
2019-10-26 00:00:00,"ind",37
2019-10-28 12:00:00,"rep",8
2019-10-28 12:00:00,"dem",86
2019-10-28 12:00:00,"ind",38
2019-10-28 12:00:00,"dem",88
2019-10-28 12:00:00,"ind",43
2019-10-22 12:00:00,"rep",7
2019-10-22 12:00:00,"dem",87
2019-10-22 12:00:00,"ind",53
2019-11-01 00:00:00,"rep",8
2019-11-01 00:00:00,"dem",85
2019-11-01 00:00:00,"ind",42
2019-11-01 00:00:00,"rep",15
2019-11-01 00:00:00,"dem",85
2019-11-01 00:00:00,"ind",54
2019-11-02 00:00:00,"rep",13
2019-11-02 00:00:00,"dem",81
2019-11-02 00:00:00,"ind",46
2019-11-02 00:00:00,"rep",12
2019-11-02 00:00:00,"dem",80
2019-11-02 00:00:00,"ind",44
2019-11-02 00:00:00,"rep",11
2019-11-02 00:00:00,"dem",82
2019-11-02 00:00:00,"ind",43
2019-11-03 23:30:00,"rep",11
2019-11-03 23:30:00,"dem",82
2019-11-03 23:30:00,"ind",39
2019-11-03 23:30:00,"rep",12
2019-11-03 23:30:00,"dem",82
2019-11-03 23:30:00,"ind",41
2019-11-04 12:00:00,"rep",14
2019-11-04 12:00:00,"dem",75
2019-11-04 12:00:00,"ind",43
2019-11-04 12:00:00,"rep",13
2019-11-04 12:00:00,"dem",77
2019-11-04 12:00:00,"ind",45
2019-10-25 12:00:00,"rep",16
2019-10-25 12:00:00,"dem",80
2019-10-27 12:00:00,"rep",7
2019-10-27 12:00:00,"dem",81
2019-10-27 12:00:00,"ind",30
2019-10-27 12:00:00,"rep",6
2019-10-27 12:00:00,"dem",82
2019-10-27 12:00:00,"ind",31
2019-11-01 12:00:00,"rep",5.3
2019-11-01 12:00:00,"dem",92.7
2019-11-01 12:00:00,"ind",51.4
2019-11-01 12:00:00,"rep",2.5
2019-11-01 12:00:00,"dem",89.9
2019-11-01 12:00:00,"ind",50.3
2019-11-10 00:00:00,"rep",17
2019-11-10 00:00:00,"dem",85
2019-11-10 00:00:00,"ind",47
2019-11-03 00:30:00,"rep",14
2019-11-03 00:30:00,"dem",84
2019-11-03 00:30:00,"ind",51
2019-11-09 00:00:00,"rep",15
2019-11-09 00:00:00,"dem",82
2019-11-09 00:00:00,"ind",47
2019-11-09 00:00:00,"rep",10
2019-11-09 00:00:00,"dem",84
2019-11-09 00:00:00,"ind",49
2019-11-09 00:00:00,"rep",9
2019-11-09 00:00:00,"dem",82
2019-11-09 00:00:00,"ind",46
2019-11-11 00:00:00,"rep",12
2019-11-11 00:00:00,"dem",82
2019-11-11 00:00:00,"ind",36
2019-11-11 00:00:00,"rep",11
2019-11-11 00:00:00,"dem",81
2019-11-11 00:00:00,"ind",37
2019-11-12 12:00:00,"rep",11
2019-11-12 12:00:00,"dem",78
2019-11-12 12:00:00,"ind",40
2019-11-12 12:00:00,"rep",10
2019-11-12 12:00:00,"dem",79
2019-11-12 12:00:00,"ind",41
2019-10-28 00:00:00,"rep",16.3
2019-10-28 00:00:00,"dem",92.3
2019-10-28 00:00:00,"ind",44.4
2019-10-28 00:00:00,"rep",14.8
2019-10-28 00:00:00,"dem",89.1
2019-10-28 00:00:00,"ind",42.9
2019-11-14 12:00:00,"rep",10
2019-11-14 12:00:00,"dem",76
2019-11-14 12:00:00,"ind",40
2019-11-05 12:00:00,"rep",12
2019-11-05 12:00:00,"dem",84
2019-11-05 12:00:00,"ind",37
2019-11-14 00:00:00,"rep",9
2019-11-14 00:00:00,"dem",79
2019-11-14 00:00:00,"ind",39
2019-11-16 00:00:00,"rep",13
2019-11-16 00:00:00,"dem",83
2019-11-16 00:00:00,"ind",40
2019-11-16 00:00:00,"rep",11
2019-11-16 00:00:00,"dem",85
2019-11-16 00:00:00,"ind",40
2019-11-16 00:00:00,"rep",10
2019-11-16 00:00:00,"dem",84
2019-11-16 00:00:00,"ind",39
2019-11-13 00:00:00,"rep",8
2019-11-13 00:00:00,"dem",87
2019-11-13 00:00:00,"ind",46
2019-11-13 00:00:00,"rep",7
2019-11-13 00:00:00,"dem",86
2019-11-13 00:00:00,"ind",41
2019-11-13 00:00:00,"rep",9
2019-11-13 00:00:00,"dem",89
2019-11-13 00:00:00,"ind",42
2019-11-18 00:00:00,"rep",9
2019-11-18 00:00:00,"dem",82
2019-11-18 00:00:00,"ind",35
2019-11-18 00:00:00,"rep",10
2019-11-18 00:00:00,"dem",83
2019-11-18 00:00:00,"ind",38
2019-11-07 11:30:00,"rep",8
2019-11-07 11:30:00,"dem",90
2019-11-07 11:30:00,"ind",45
2019-11-18 12:00:00,"rep",11
2019-11-18 12:00:00,"dem",79
2019-11-18 12:00:00,"ind",42
2019-11-18 12:00:00,"rep",10
2019-11-18 12:00:00,"dem",82
2019-11-18 12:00:00,"ind",45
2019-11-18 12:00:00,"rep",22.4
2019-11-18 12:00:00,"dem",68.8
2019-11-18 12:00:00,"ind",34.4
2019-11-21 00:00:00,"rep",11
2019-11-21 00:00:00,"dem",81
2019-11-21 00:00:00,"ind",40
2019-11-21 00:00:00,"rep",12
2019-11-21 00:00:00,"dem",83
2019-11-21 00:00:00,"ind",40
2019-11-21 00:00:00,"rep",11
2019-11-21 00:00:00,"dem",86
2019-11-21 00:00:00,"ind",35
2019-11-20 12:00:00,"rep",11
2019-11-20 12:00:00,"dem",85
2019-11-20 12:00:00,"ind",46
